Location_Code,latitude,longitude,depth,SampleID,time,Temp,Air_Temp,Salinity,Chl_Volume_Filtered,Chl1,Chl2,Avg_Chloro,Phaeo1,Phaeo2,Avg_Phaeo,Phosphate,Silicate,Nitrite,Nitrite_Nitrate,Ammonium,Nitrate,DA_Volume_Filtered,pDA,tDA,dDA,Volume_Settled_for_Counting,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Prorocentrum_spp,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Ceratium_spp,Cochlodinium_spp,Gymnodinium_spp,Other_Diatoms,Other_Dinoflagellates,Total_Phytoplankton
,degrees_north,degrees_east,m,,UTC,degree_C,degree_C,,mL,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,mg/m3,uM,uM,uM,uM,uM,uM,mL,ng/mL,ng/mL,ng/mL,mL,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
SIO,32.867,-117.257,NaN,20080630,2008-06-30T15:00:00Z,19.8,NaN,NaN,100.0,1.81,1.83,1.82,0.59,0.61,0.6,0.24,5.6,0.03,NaN,0.53,0.43,200.0,0.0,NaN,NaN,NaN,0.0,0.0,178.0,89.0,5168.0,9535.0,535.0,NaN,0.0,0.0,59882.0,10249.0,85636.0
SIO,32.867,-117.257,NaN,20080707,2008-07-07T15:00:00Z,17.3,NaN,NaN,100.0,2.68,2.73,2.71,1.24,1.12,1.18,0.37,5.1,0.04,NaN,1.06,0.83,200.0,0.0,NaN,NaN,NaN,89.0,0.0,0.0,89.0,1158.0,61487.0,178.0,NaN,0.0,624.0,105864.0,3743.0,173233.0
SIO,32.867,-117.257,NaN,20080714,2008-07-14T14:54:00Z,21.7,NaN,NaN,100.0,0.99,1.0,0.99,0.55,0.54,0.55,0.24,3.5,0.0,NaN,0.35,0.45,200.0,0.0,NaN,NaN,NaN,89.0,0.0,0.0,267.0,1069.0,16842.0,535.0,NaN,267.0,267.0,49724.0,8556.0,77616.0
SIO,32.867,-117.257,NaN,20080721,2008-07-21T14:50:00Z,20.2,NaN,NaN,100.0,1.21,1.24,1.23,0.49,0.48,0.48,0.17,4.2,0.0,NaN,0.55,0.34,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,623.0,2050.0,267.0,NaN,0.0,1248.0,21832.0,2585.0,28605.0
SIO,32.867,-117.257,NaN,20080728,2008-07-28T16:44:00Z,22.4,NaN,NaN,100.0,2.37,2.44,2.41,0.41,0.36,0.39,0.12,3.8,0.0,NaN,0.62,0.29,200.0,0.0,NaN,NaN,NaN,0.0,0.0,178.0,0.0,1069.0,5436.0,0.0,NaN,0.0,356.0,21921.0,3387.0,32347.0
SIO,32.867,-117.257,NaN,20080804,2008-08-04T15:25:00Z,23.0,NaN,NaN,100.0,1.95,1.85,1.9,0.41,0.35,0.38,0.15,3.6,0.0,NaN,0.46,0.34,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,534.0,1337.0,0.0,NaN,0.0,1604.0,14703.0,5347.0,23525.0
SIO,32.867,-117.257,NaN,20080811,2008-08-11T16:00:00Z,22.0,NaN,NaN,100.0,1.91,1.69,1.8,0.66,0.6,0.63,0.27,2.6,0.0,NaN,0.8,0.32,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,713.0,10515.0,2317.0,NaN,0.0,446.0,175015.0,2673.0,191679.0
SIO,32.867,-117.257,NaN,20080818,2008-08-18T15:05:00Z,24.4,NaN,NaN,100.0,1.86,1.78,1.82,0.43,0.44,0.43,0.19,2.6,0.0,NaN,0.0,0.0,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,445.0,2941.0,535.0,NaN,0.0,178.0,61843.0,4278.0,70220.0
SIO,32.867,-117.257,NaN,20080825,2008-08-25T15:05:00Z,19.7,NaN,NaN,100.0,1.73,1.72,1.72,0.44,0.49,0.47,0.27,3.4,0.01,NaN,1.09,0.19,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,178.0,178.0,0.0,NaN,0.0,0.0,24506.0,624.0,25486.0
SIO,32.867,-117.257,NaN,20080902,2008-09-02T16:44:00Z,21.8,NaN,NaN,100.0,1.37,1.33,1.35,0.2,0.22,0.21,0.21,3.2,0.0,NaN,1.01,0.26,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,89.0,0.0,0.0,NaN,0.0,89.0,5436.0,624.0,6238.0
SIO,32.867,-117.257,NaN,20080908,2008-09-08T14:45:00Z,21.6,NaN,NaN,100.0,1.64,1.68,1.66,0.28,0.31,0.3,0.2,3.7,0.12,NaN,0.97,0.22,200.0,0.0,NaN,NaN,NaN,0.0,0.0,89.0,0.0,802.0,178.0,0.0,NaN,0.0,0.0,10604.0,1069.0,12743.0
SIO,32.867,-117.257,NaN,20080915,2008-09-15T14:50:00Z,19.2,NaN,NaN,100.0,3.95,3.8,3.88,0.46,0.56,0.51,0.19,3.1,0.0,NaN,0.46,0.33,200.0,0.0,NaN,NaN,NaN,0.0,0.0,267.0,178.0,2138.0,1069.0,0.0,NaN,0.0,0.0,26110.0,3922.0,33684.0
SIO,32.867,-117.257,NaN,20080922,2008-09-22T14:45:00Z,19.0,NaN,NaN,100.0,2.14,2.15,2.14,0.38,0.35,0.37,0.21,3.4,0.0,NaN,0.78,0.17,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,1337.0,535.0,0.0,NaN,0.0,0.0,16842.0,713.0,19426.0
SIO,32.867,-117.257,NaN,20080929,2008-09-29T15:44:00Z,18.1,NaN,NaN,100.0,2.48,2.48,2.48,0.7,0.71,0.7,0.28,2.9,0.0,NaN,0.77,0.23,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,178.0,624.0,1069.0,0.0,NaN,0.0,0.0,56853.0,2139.0,60863.0
SIO,32.867,-117.257,NaN,20081006,2008-10-06T15:15:00Z,19.2,NaN,NaN,100.0,1.34,1.29,1.31,0.55,0.56,0.55,0.23,2.7,0.0,NaN,1.48,0.33,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,89.0,980.0,1158.0,0.0,NaN,0.0,0.0,54804.0,4991.0,62022.0
SIO,32.867,-117.257,NaN,20081013,2008-10-13T16:09:00Z,18.1,NaN,NaN,100.0,2.37,2.37,2.37,0.52,0.53,0.52,0.41,6.0,0.06,NaN,1.4,0.51,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,178.0,6416.0,1069.0,0.0,NaN,0.0,0.0,158351.0,5614.0,171629.0
SIO,32.867,-117.257,NaN,20081020,2008-10-20T15:09:00Z,16.6,NaN,NaN,100.0,1.73,1.75,1.74,0.65,0.69,0.67,0.29,1.8,0.0,NaN,0.81,0.32,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,445.0,1069.0,2495.0,NaN,0.0,0.0,193639.0,1337.0,198986.0
SIO,32.867,-117.257,NaN,20081027,2008-10-27T15:19:00Z,17.6,NaN,NaN,100.0,0.91,0.91,0.91,0.8,0.82,0.81,0.3,1.9,0.0,NaN,1.16,0.59,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,89.0,178.0,356.0,446.0,NaN,0.0,0.0,78151.0,2763.0,81982.0
SIO,32.867,-117.257,NaN,20081103,2008-11-03T16:50:00Z,16.2,NaN,NaN,100.0,0.86,0.83,0.84,0.9,1.04,0.97,0.43,3.3,0.0,NaN,1.4,0.9,200.0,0.0,NaN,NaN,NaN,0.0,0.0,89.0,0.0,445.0,1248.0,1426.0,NaN,0.0,0.0,42505.0,1159.0,46873.0
SIO,32.867,-117.257,NaN,20081110,2008-11-10T17:09:00Z,16.9,NaN,NaN,100.0,1.18,1.18,1.18,0.8,0.77,0.79,0.36,2.8,0.0,NaN,0.8,0.56,200.0,0.0,NaN,NaN,NaN,0.0,0.0,178.0,178.0,2049.0,802.0,0.0,NaN,0.0,0.0,43665.0,7665.0,54536.0
SIO,32.867,-117.257,NaN,20081117,2008-11-17T16:55:00Z,16.9,NaN,NaN,100.0,1.28,1.24,1.26,0.42,0.43,0.42,0.3,3.0,0.0,NaN,0.6,0.29,200.0,0.0,NaN,NaN,NaN,0.0,0.0,89.0,89.0,1248.0,1693.0,0.0,NaN,0.0,0.0,26377.0,5881.0,35377.0
SIO,32.867,-117.257,NaN,20081124,2008-11-24T17:15:00Z,17.0,NaN,NaN,100.0,0.76,0.76,0.76,0.3,0.3,0.3,0.31,2.4,0.0,NaN,0.31,0.2,200.0,0.0,NaN,NaN,NaN,0.0,0.0,89.0,0.0,445.0,980.0,0.0,NaN,0.0,0.0,10694.0,5526.0,17733.0
SIO,32.867,-117.257,NaN,20081201,2008-12-01T17:00:00Z,16.4,NaN,NaN,100.0,1.45,1.47,1.46,1.12,1.16,1.14,0.38,3.2,0.0,NaN,0.65,0.58,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,89.0,1515.0,891.0,0.0,NaN,0.0,0.0,30298.0,2941.0,35734.0
SIO,32.867,-117.257,NaN,20081208,2008-12-08T17:05:00Z,16.6,NaN,NaN,100.0,1.67,1.59,1.63,0.98,0.92,0.95,0.36,2.6,0.0,NaN,0.91,0.43,200.0,0.0,NaN,NaN,NaN,0.0,0.0,0.0,0.0,3475.0,1337.0,0.0,NaN,178.0,0.0,42417.0,6684.0,54091.0
SIO,32.867,-117.257,NaN,20081215,2008-12-15T16:40:00Z,15.1,NaN,NaN,100.0,1.22,1.25,1.24,0.71,0.7,0.71,0.36,3.9,0.04,NaN,0.54,0.25,200.0,0.0,NaN,NaN,NaN,0.0,89.0,0.0,89.0,2406.0,2406.0,0.0,NaN,0.0,0.0,18535.0,3565.0,27090.0
SIO,32.867,-117.257,NaN,20081222,2008-12-22T17:09:00Z,14.5,NaN,NaN,100.0,1.6,1.62,1.61,0.77,0.88,0.83,0.44,4.3,0.0,NaN,0.41,1.35,200.0,0.0,NaN,NaN,NaN,0.0,0.0,89.0,0.0,2762.0,2495.0,0.0,NaN,0.0,0.0,13812.0,3743.0,22902.0
SIO,32.867,-117.257,NaN,20081229,2008-12-29T17:15:00Z,13.7,NaN,NaN,100.0,1.4,1.39,1.39,0.74,0.75,0.75,0.53,5.5,0.0,NaN,0.76,2.47,200.0,0.0,NaN,NaN,NaN,356.0,0.0,0.0,0.0,1782.0,4456.0,0.0,NaN,0.0,0.0,38317.0,3654.0,48566.0
SIO,32.867,-117.257,NaN,20090105,2009-01-05T17:56:00Z,13.4,NaN,NaN,100.0,2.69,2.58,2.63,0.88,1.11,1.0,0.44,5.1,0.0,NaN,0.68,1.17,200.0,0.0,NaN,NaN,NaN,5692.0,0.0,407.0,610.0,7318.0,15653.0,0.0,NaN,407.0,0.0,44115.0,4269.0,78471.0
