Date,Lat_Dec,Lon_Dec,T_degC,Salnty,O2ml_L,O2Sat,ChlorA,Phaeop,PO4uM,SiO3uM,NO3uM,Cloud_Amt,NP_Ratio,Shore_km
12/20/1977,33.866666,-120.141666,15.32,33.49,5.86,102.7,0.65,0.23,0.28,2.0,0.1,5.0,0.357,48.6
12/20/1977,33.866666,-120.141666,15.32,33.49,5.86,102.7,0.62,0.24,0.28,2.0,0.1,5.0,0.357,48.6
12/20/1977,33.866666,-120.141666,15.28,33.49,5.86,102.6,0.58,0.22,0.29,2.5,0.4,5.0,1.379,48.6
12/20/1977,33.733333,-120.408333,15.0,33.476,5.85,101.9,0.74,0.32,0.27,2.0,0.1,7.0,0.37,76.4
12/20/1977,33.733333,-120.408333,15.0,33.476,5.85,101.9,0.75,0.32,0.27,2.0,0.1,7.0,0.37,76.4
12/20/1977,33.733333,-120.408333,15.01,33.475,5.9,102.8,0.71,0.35,0.29,2.0,0.3,7.0,1.034,76.4
12/19/1977,33.566666,-120.75,14.33,33.464,6.0,103.1,0.61,0.15,0.3,2.9,0.5,5.0,1.667,112.5
12/19/1977,33.566666,-120.75,14.33,33.463,6.01,103.3,0.6,0.16,0.3,3.0,0.5,5.0,1.667,112.5
12/19/1977,33.566666,-120.75,14.28,33.464,6.01,103.1,0.59,0.2,0.3,3.0,0.6,5.0,2.0,112.5
12/19/1977,33.24,-121.435,14.46,33.435,5.96,102.6,0.65,0.23,0.24,2.0,0.0,5.0,0.0,185.1
12/19/1977,33.24,-121.435,14.46,33.435,5.96,102.6,0.65,0.22,0.24,2.0,0.0,5.0,0.0,185.1
12/19/1977,33.24,-121.435,14.46,33.434,6.01,103.5,0.62,0.27,0.24,2.0,0.0,5.0,0.0,185.1
12/19/1977,32.9,-122.133333,14.68,33.214,5.97,103.1,0.27,0.11,0.45,3.0,0.0,5.0,0.0,258.8
12/19/1977,32.9,-122.133333,14.68,33.214,5.97,103.1,0.26,0.11,0.45,3.0,0.0,5.0,0.0,258.8
12/19/1977,32.9,-122.133333,14.72,33.268,5.95,102.9,0.27,0.14,0.45,3.0,0.0,5.0,0.0,258.8
12/18/1977,32.658333,-121.035,14.99,33.363,5.94,103.4,0.24,0.09,0.29,2.0,0.0,6.0,0.0,206.2
12/18/1977,32.658333,-121.035,14.98,33.364,5.95,103.5,0.23,0.09,0.29,2.0,0.0,6.0,0.0,206.2
12/18/1977,32.658333,-121.035,14.97,33.364,5.99,104.2,0.22,0.09,0.29,2.0,0.0,6.0,0.0,206.2
