Entry_ID,Date,Grid_ID,Lat_Min,Lat_Max,Lon_Min,Lon_Max,T_degC,Salnty,O2ml_L,O2Sat,ChlorA,Phaeop,NO3uM
1,01/04/1995,grid587,32.942,32.986,-117.354,-117.302,14.307,33.402,6.053,103.9,2.22,0.31,0.133
2,01/04/2005,grid575,32.899,32.942,-117.406,-117.354,15.6,33.206,5.755,101.3,0.38,0.16,0.0
3,01/04/2005,grid587,32.942,32.986,-117.354,-117.302,15.348,33.16,5.73,100.325,0.752,0.315,0.15
4,01/04/2005,grid588,32.942,32.986,-117.302,-117.251,14.97,32.822,5.715,99.1,0.99,0.665,0.55
5,01/05/1984,grid621,33.159,33.203,-118.389,-118.338,15.847,33.415,5.863,103.8,0.263,0.093,0.2
6,01/05/1984,grid636,33.246,33.29,-118.234,-118.182,15.927,33.425,5.753,102.033,0.2,0.087,0.3
7,01/05/1984,grid667,33.42,33.464,-117.924,-117.872,15.695,33.356,5.87,103.6,0.49,0.275,0.2
8,01/05/1984,grid675,33.464,33.507,-117.82,-117.768,15.68,33.385,5.77,101.85,0.275,0.13,0.1
9,01/05/1984,grid697,33.638,33.681,-119.01,-118.959,15.643,33.454,5.79,102.133,0.593,0.133,0.167
10,01/05/1984,grid726,33.812,33.855,-118.648,-118.596,15.95,33.408,5.823,103.333,0.253,0.067,0.0
11,01/05/1995,grid556,32.812,32.855,-117.561,-117.51,14.877,33.352,5.81,100.867,0.53,0.2,0.167
12,01/05/1995,grid575,32.899,32.942,-117.406,-117.354,14.605,33.358,5.94,102.55,1.005,0.27,0.2
13,01/05/2005,grid422,32.159,32.203,-118.907,-118.855,15.23,33.192,5.79,101.1,0.68,0.255,0.0
14,01/05/2005,grid464,32.333,32.377,-118.596,-118.545,15.337,33.223,5.767,100.967,0.64,0.133,0.0
15,01/05/2005,grid496,32.507,32.551,-118.234,-118.182,15.45,33.22,5.74,100.7,0.485,0.195,0.0
16,01/05/2005,grid529,32.681,32.725,-117.924,-117.872,15.6,33.213,5.765,101.45,0.65,0.245,0.0
17,01/05/2005,grid556,32.812,32.855,-117.561,-117.51,16.025,33.285,5.7,101.2,0.49,0.18,0.0
18,01/05/2020,grid522,32.638,32.681,-117.872,-117.82,15.823,33.532,5.751,101.865,0.306,0.074,0.125
19,01/05/2020,grid556,32.812,32.855,-117.561,-117.51,16.119,33.515,5.658,100.79,0.362,0.081,0.0
20,01/05/2020,grid575,32.899,32.942,-117.406,-117.354,15.874,33.528,5.732,101.62,0.458,0.112,0.255
21,01/05/2020,grid587,32.942,32.986,-117.354,-117.302,15.654,33.505,5.752,101.517,0.892,0.264,0.0
22,01/05/2020,grid588,32.942,32.986,-117.302,-117.251,15.45,33.48,5.771,101.42,1.42,0.398,0.0
23,01/05/2020,grid630,33.203,33.246,-117.51,-117.458,15.442,33.508,5.745,100.967,1.546,0.436,0.0
24,01/06/1984,grid518,32.638,32.681,-119.528,-119.476,14.705,33.419,6.065,104.967,0.355,0.195,0.0
25,01/06/1984,grid519,32.638,32.681,-119.476,-119.425,14.87,33.424,5.94,103.167,0.25,0.12,0.0
26,01/06/1984,grid612,33.116,33.159,-120.046,-119.994,14.723,33.437,5.997,103.833,0.48,0.217,0.2
27,01/06/1984,grid641,33.29,33.333,-119.683,-119.632,14.63,33.432,5.933,102.533,0.48,0.263,0.133
28,01/06/1984,grid674,33.464,33.507,-119.321,-119.269,14.877,33.443,5.953,103.4,0.34,0.187,0.1
29,01/06/1995,grid387,31.986,32.029,-119.269,-119.217,14.61,33.194,5.88,101.4,0.44,0.155,0.15
30,01/06/1995,grid422,32.159,32.203,-118.907,-118.855,14.207,33.246,5.9,100.967,0.457,0.177,0.3
31,01/06/1995,grid464,32.333,32.377,-118.596,-118.545,14.273,33.353,5.81,99.633,0.443,0.177,0.6
32,01/06/1995,grid496,32.507,32.551,-118.234,-118.182,14.657,33.425,5.69,98.4,0.517,0.207,0.8
33,01/06/1995,grid529,32.681,32.725,-117.924,-117.872,14.67,33.407,5.723,98.967,0.6,0.213,0.7
34,01/06/2004,grid464,32.333,32.377,-118.596,-118.545,14.635,33.189,5.915,102.1,0.815,0.29,0.1
35,01/06/2004,grid496,32.507,32.551,-118.234,-118.182,14.783,33.155,5.84,101.067,0.647,0.267,0.0
36,01/06/2004,grid529,32.681,32.725,-117.924,-117.872,14.89,33.185,5.79,100.4,0.633,0.283,0.0
37,01/06/2004,grid556,32.812,32.855,-117.561,-117.51,14.52,33.217,5.997,103.233,1.103,0.273,0.0
38,01/06/2004,grid574,32.899,32.942,-117.458,-117.406,14.55,33.218,5.885,101.4,1.01,0.35,0.0
39,01/06/2004,grid587,32.942,32.986,-117.354,-117.302,13.54,33.194,5.57,94.133,1.143,0.41,2.9
40,01/06/2005,grid238,30.812,30.855,-121.598,-121.547,16.123,33.196,5.667,100.767,0.12,0.033,0.0
41,01/06/2005,grid278,31.159,31.203,-120.977,-120.925,15.48,33.11,5.733,100.567,0.173,0.057,0.0
42,01/06/2005,grid324,31.507,31.551,-120.253,-120.201,15.01,33.149,5.807,100.933,0.387,0.153,0.0
43,01/06/2005,grid363,31.812,31.855,-119.58,-119.528,14.887,33.134,5.81,100.767,0.357,0.127,0.0
44,01/06/2005,grid387,31.986,32.029,-119.269,-119.217,15.265,33.21,5.82,101.75,0.52,0.15,0.0
45,01/06/2017,grid464,32.333,32.377,-118.596,-118.545,15.869,33.396,5.668,100.4,0.386,0.084,0.0
